idnum,href,full_link,name
298,/wiki/MS_Celestyal_Olympia,https://en.wikipedia.org/wiki/MS_Celestyal_Olympia,MS CELESTYAL OLYMPIA
300,/wiki/SS_Monterey,https://en.wikipedia.org/wiki/SS_Monterey,SS MONTEREY
302,/wiki/Cape_of_Good_Hope,https://en.wikipedia.org/wiki/Cape_of_Good_Hope,CAPE OF GOOD HOPE
303,/wiki/MV_Bianca_C.,https://en.wikipedia.org/wiki/MV_Bianca_C.,MV BIANCA C.
305,/wiki/RMS_Transvaal_Castle,https://en.wikipedia.org/wiki/RMS_Transvaal_Castle,RMS TRANSVAAL CASTLE
307,/wiki/MS_Birka_Gotland,https://en.wikipedia.org/wiki/MS_Birka_Gotland,MS BIRKA GOTLAND
310,/wiki/Mariehamn,https://en.wikipedia.org/wiki/Mariehamn,MARIEHAMN
311,/wiki/MS_Black_Watch_(1971),https://en.wikipedia.org/wiki/MS_Black_Watch_(1971),MS BLACK WATCH (1971)
313,/wiki/AIDAvita,https://en.wikipedia.org/wiki/AIDAvita,AIDAVITA
314,/wiki/MS_Amsterdam,https://en.wikipedia.org/wiki/MS_Amsterdam,MS AMSTERDAM
316,/wiki/MS_Bore,https://en.wikipedia.org/wiki/MS_Bore,MS BORE
318,/wiki/Turku,https://en.wikipedia.org/wiki/Turku,TURKU
320,/wiki/Turku,https://en.wikipedia.org/wiki/Turku,TURKU
321,/wiki/MS_Borealis,https://en.wikipedia.org/wiki/MS_Borealis,MS BOREALIS
323,/wiki/MV_Boudicca,https://en.wikipedia.org/wiki/MV_Boudicca,MV BOUDICCA
325,/wiki/MS_Brahe,https://en.wikipedia.org/wiki/MS_Brahe,MS BRAHE
327,/wiki/MS_Bremen,https://en.wikipedia.org/wiki/MS_Bremen,MS BREMEN
329,/wiki/Brilliance_of_the_Seas,https://en.wikipedia.org/wiki/Brilliance_of_the_Seas,BRILLIANCE OF THE SEAS
331,/wiki/MV_Britannia_(2015),https://en.wikipedia.org/wiki/MV_Britannia_(2015),MV BRITANNIA (2015)
333,/wiki/MS_The_Calypso,https://en.wikipedia.org/wiki/MS_The_Calypso,MS THE CALYPSO
336,/wiki/SS_Canberra,https://en.wikipedia.org/wiki/SS_Canberra,SS CANBERRA
338,/wiki/Caribbean_Princess,https://en.wikipedia.org/wiki/Caribbean_Princess,CARIBBEAN PRINCESS
341,"/wiki/Cobh,_Ireland","https://en.wikipedia.org/wiki/Cobh,_Ireland","COBH, IRELAND"
342,/wiki/Carnival_Adventure,https://en.wikipedia.org/wiki/Carnival_Adventure,CARNIVAL ADVENTURE
344,/wiki/Carnival_Breeze,https://en.wikipedia.org/wiki/Carnival_Breeze,CARNIVAL BREEZE
346,/wiki/Carnival_Celebration,https://en.wikipedia.org/wiki/Carnival_Celebration,CARNIVAL CELEBRATION
